t,v_raw,v_filtered,u,x,y,dt
1.350000000000000533e+00,1.206121242624290657e+00,1.197756668348058717e+00,9.999999999999998890e-01,-2.315030397502381732e+01,-8.442059415417775270e+00,5.000000000000004441e-02
1.400000000000000577e+00,1.252621806991539133e+00,1.242259120855485399e+00,9.999999999999998890e-01,-2.308760818172977736e+01,-8.441863854576233450e+00,5.000000000000004441e-02
1.450000000000000622e+00,1.305170506591434521e+00,1.293288080685210728e+00,9.678909412062427498e-01,-2.302228798429167256e+01,-8.440290432337786086e+00,5.000000000000004441e-02
1.500000000000000666e+00,1.341198954779072583e+00,1.332149759552119894e+00,8.502818589503379210e-01,-2.295519411714631275e+01,-8.438883640320119284e+00,5.000000000000004441e-02
1.550000000000000711e+00,1.380020547756480198e+00,1.370978923776072333e+00,7.247957645303898522e-01,-2.288614989581166981e+01,-8.438171666599570742e+00,5.000000000000004441e-02
1.600000000000000755e+00,1.424135366652440560e+00,1.414095411459466156e+00,5.736292674279471759e-01,-2.281491430133320719e+01,-8.435727961430380617e+00,5.000000000000004441e-02
1.650000000000000799e+00,1.433156558688077675e+00,1.429556373014498227e+00,5.275945029340064485e-01,-2.274328041358693753e+01,-8.433254496022568603e+00,5.000000000000004441e-02
1.700000000000000844e+00,1.476446762953160574e+00,1.467590312286207288e+00,3.853073129837529809e-01,-2.266938381873466923e+01,-8.432113994495123777e+00,5.000000000000004441e-02
1.750000000000000888e+00,1.470053435812217923e+00,1.469588211871379224e+00,3.837512824767140840e-01,-2.259588767177071844e+01,-8.430661137076576495e+00,5.000000000000004441e-02
1.800000000000000933e+00,1.508554129781416231e+00,1.501194418546039078e+00,2.597124563863044688e-01,-2.252044582208575463e+01,-8.427555833287515341e+00,5.000000000000004441e-02
1.850000000000000977e+00,1.492866973427331878e+00,1.494439824644224313e+00,2.873144888518284201e-01,-2.244584503206757375e+01,-8.424689034097562867e+00,5.000000000000004441e-02
1.900000000000001021e+00,1.515437364920693364e+00,1.511471441842869190e+00,2.182416855912384657e-01,-2.237006225785636815e+01,-8.422215534067301945e+00,5.000000000000004441e-02
1.950000000000000844e+00,1.522187958076276271e+00,1.520163869612372931e+00,1.800392536735010429e-01,-2.229392344524764624e+01,-8.420056360028537412e+00,4.999999999999982236e-02
2.000000000000000888e+00,1.521443840290434002e+00,1.521202085057000719e+00,1.716021935817821920e-01,-2.221783522139715927e+01,-8.418135982560004393e+00,5.000000000000004441e-02
2.050000000000000711e+00,1.526468722984533066e+00,1.525473983571043135e+00,1.496190859054579159e-01,-2.214148965048039841e+01,-8.416318084045146364e+00,4.999999999999982236e-02
2.100000000000000533e+00,1.529118392651702241e+00,1.528430052689606189e+00,1.321803380303178121e-01,-2.206500552083139866e+01,-8.414521594957919959e+00,4.999999999999982236e-02
2.150000000000000355e+00,1.529027476924644580e+00,1.528914638062101705e+00,1.243218016173068818e-01,-2.198853261417750105e+01,-8.412720424416242793e+00,4.999999999999982236e-02
2.200000000000000178e+00,1.530602039857044794e+00,1.530283330825795929e+00,1.127183191732776812e-01,-2.191198141885458739e+01,-8.410882519255723722e+00,4.999999999999982236e-02
2.250000000000000000e+00,1.530624482399196573e+00,1.530560047190111517e+00,1.053347574103199458e-01,-2.183542806606751085e+01,-8.409020178428345815e+00,4.999999999999982236e-02
2.299999999999999822e+00,1.529863326558632775e+00,1.529994920087912824e+00,1.013649563082508198e-01,-2.175891410036822649e+01,-8.407177017761942039e+00,4.999999999999982236e-02
2.349999999999999645e+00,1.529537025445553589e+00,1.529623510572165390e+00,9.671298150450635678e-02,-2.168241517370886839e+01,-8.405398733135646339e+00,4.999999999999982236e-02
2.399999999999999467e+00,1.528672398963482504e+00,1.528852040741938367e+00,9.378696337059067023e-02,-2.160595743283345271e+01,-8.403693851695624772e+00,4.999999999999982236e-02
2.449999999999999289e+00,1.527552600380569503e+00,1.527798032962174535e+00,9.218484315895159042e-02,-2.152955461809173343e+01,-8.402060811212415103e+00,4.999999999999982236e-02
2.499999999999999112e+00,1.526422182657605653e+00,1.526682047213295368e+00,9.105552590795362722e-02,-2.145320713720042960e+01,-8.400505073736894701e+00,4.999999999999982236e-02
2.549999999999998934e+00,1.525278570322345262e+00,1.525543652866192090e+00,9.024864891945028056e-02,-2.137691520672092693e+01,-8.399027392335456810e+00,4.999999999999982236e-02
2.599999999999998757e+00,1.524156558660504368e+00,1.524418546914796169e+00,8.962165781694075850e-02,-2.130067749617402484e+01,-8.397651434568365048e+00,4.999999999999982236e-02
2.649999999999998579e+00,1.522930516225444952e+00,1.523211568918936942e+00,8.956414658263611717e-02,-2.122449943588656396e+01,-8.396394012954793595e+00,4.999999999999982236e-02
2.699999999999998401e+00,1.521726282140313691e+00,1.522006816576012778e+00,8.974626943143981794e-02,-2.114837956110063288e+01,-8.395260392441763031e+00,4.999999999999982236e-02
2.749999999999998224e+00,1.520476814287607947e+00,1.520765794392173298e+00,9.032627914093827037e-02,-2.107232039937224499e+01,-8.394242119383585887e+00,4.999999999999982236e-02
2.799999999999998046e+00,1.519197574271525353e+00,1.519493772792194886e+00,9.128992325707829814e-02,-2.099632402432332157e+01,-8.393323960203044720e+00,4.999999999999982236e-02
2.849999999999997868e+00,1.517913585812471933e+00,1.518212044580863118e+00,9.255580481437364337e-02,-2.092039107287155986e+01,-8.392484748851675391e+00,4.999999999999982236e-02
2.899999999999997691e+00,1.516854615944388085e+00,1.517111001096411282e+00,9.334096768969291080e-02,-2.084451024005728215e+01,-8.391711741472018815e+00,4.999999999999982236e-02
2.949999999999997513e+00,1.516294216886428625e+00,1.516448487496477204e+00,9.254510516696989875e-02,-2.076865605768889012e+01,-8.390977574413764017e+00,4.999999999999982236e-02
2.999999999999997335e+00,1.515037343080706034e+00,1.515303873832925641e+00,9.387344690569476846e-02,-2.069286496922977392e+01,-8.390274637392348467e+00,4.999999999999982236e-02
3.049999999999997158e+00,1.513877157869815804e+00,1.514146629707425973e+00,9.548981645363696646e-02,-2.061713184248169028e+01,-8.389602290608365820e+00,4.999999999999982236e-02
3.099999999999996980e+00,1.512853214867070806e+00,1.513097509374762062e+00,9.689896445319423623e-02,-2.054144944602286671e+01,-8.388978076274201001e+00,4.999999999999982236e-02
3.149999999999996803e+00,1.511896688369008368e+00,1.512123494160370285e+00,9.821473334890107321e-02,-2.046581424820019279e+01,-8.388433877320029097e+00,4.999999999999982236e-02
3.199999999999996625e+00,1.511100830587393640e+00,1.511293986786239607e+00,9.913550294738449065e-02,-2.039021807023558353e+01,-8.388006401446348903e+00,4.999999999999982236e-02
3.249999999999996447e+00,1.510368368566352704e+00,1.510543195265631189e+00,9.990273519350467701e-02,-2.031465762558453392e+01,-8.387714926037695307e+00,4.999999999999982236e-02
3.299999999999996270e+00,1.509623332284199870e+00,1.509797071959345649e+00,1.008054915035601073e-01,-2.023913390628165132e+01,-8.387552352131171673e+00,4.999999999999982236e-02
3.349999999999996092e+00,1.508940206426210295e+00,1.509102047420331827e+00,1.016513828292520127e-01,-2.016364395801245024e+01,-8.387492627401499590e+00,4.999999999999982236e-02
3.399999999999995914e+00,1.508230717005049071e+00,1.508395290062506389e+00,1.026889214266910599e-01,-2.008818953511264027e+01,-8.387505686582171549e+00,4.999999999999982236e-02
3.449999999999995737e+00,1.507494834742267864e+00,1.507664908783706181e+00,1.039695512996033910e-01,-2.001277225449307196e+01,-8.387567493940384367e+00,4.999999999999982236e-02
3.499999999999995559e+00,1.506867404791677689e+00,1.507018033838937399e+00,1.050564591766739442e-01,-1.993738648970573735e+01,-8.387665815897889843e+00,4.999999999999982236e-02
3.549999999999995381e+00,1.506424248091519980e+00,1.506536399732519627e+00,1.055954507844699686e-01,-1.986202282067139180e+01,-8.387808415507405968e+00,4.999999999999982236e-02
3.599999999999995204e+00,1.505965780372223506e+00,1.506073556447890205e+00,1.061562559710436116e-01,-1.978668228905074500e+01,-8.388016885894259644e+00,4.999999999999982236e-02
3.649999999999995026e+00,1.505539967574734961e+00,1.505640749494819630e+00,1.066886374621838218e-01,-1.971136334272264534e+01,-8.388320629385681571e+00,4.999999999999982236e-02
3.699999999999994849e+00,1.505119629128009562e+00,1.505218056051441655e+00,1.072685425070694087e-01,-1.963606586629634165e+01,-8.388742913087718023e+00,4.999999999999982236e-02
3.749999999999994671e+00,1.504717702148732128e+00,1.504812206793738394e+00,1.078661366325329718e-01,-1.956078917584196120e+01,-8.389291769436884039e+00,4.999999999999982236e-02
3.799999999999994493e+00,1.504283404698638194e+00,1.504383282513132247e+00,1.086425288853436477e-01,-1.948553520616096790e+01,-8.389954506250543176e+00,4.999999999999982236e-02
3.849999999999994316e+00,1.503969715297571064e+00,1.504047828054724034e+00,1.091219777938227109e-01,-1.941029770996141224e+01,-8.390706936485084810e+00,4.999999999999982236e-02
3.899999999999994138e+00,1.503731136795382728e+00,1.503790952047904028e+00,1.093466102575777477e-01,-1.933507283189378967e+01,-8.391532856724051470e+00,4.999999999999982236e-02
3.949999999999993960e+00,1.503488419171946644e+00,1.503545560251271285e+00,1.095768481229150160e-01,-1.925986091207747464e+01,-8.392428472495936376e+00,4.999999999999982236e-02
3.999999999999993783e+00,1.503187575278817967e+00,1.503255189906296918e+00,1.100431121196612239e-01,-1.918466516367844932e+01,-8.393398752818308495e+00,4.999999999999982236e-02
4.049999999999993605e+00,1.502953051705746335e+00,1.503010118240515780e+00,1.103824737789739219e-01,-1.910948226290817331e+01,-8.394452553170802744e+00,4.999999999999982236e-02
4.099999999999993427e+00,1.502727939873784724e+00,1.502781236482908733e+00,1.107056065168887660e-01,-1.903431202883349016e+01,-8.395603083805941225e+00,4.999999999999982236e-02
4.149999999999993250e+00,1.502544106393459700e+00,1.502588894482055348e+00,1.109252732936686359e-01,-1.895915279974356338e+01,-8.396862494469914395e+00,4.999999999999982236e-02
4.199999999999993072e+00,1.502436634166881335e+00,1.502465392425698099e+00,1.109007724990056509e-01,-1.888400086492338659e+01,-8.398236033632056063e+00,4.999999999999982236e-02
4.249999999999992895e+00,1.502343033397760319e+00,1.502366144032924566e+00,1.108017363064212057e-01,-1.880885553807219068e+01,-8.399719901389214982e+00,4.999999999999982236e-02
