t,v_raw,v_filtered,u,x,y,dt
1.400000000000000577e+00,1.250039643896681874e+00,1.240166717289189924e+00,9.999999999999998890e-01,-2.408903973663285925e+01,-8.495779305592286335e+00,5.000000000000004441e-02
1.450000000000000622e+00,1.294750348120371708e+00,1.284440831942069261e+00,9.999999999999998890e-01,-2.402423286753451492e+01,-8.496134249501960056e+00,5.000000000000004441e-02
1.500000000000000666e+00,1.350128848116170843e+00,1.337721984462084013e+00,7.846961204399131029e-01,-2.395664814276343080e+01,-8.496222864579658918e+00,5.000000000000004441e-02
1.550000000000000711e+00,1.369265045381452994e+00,1.363307330734965239e+00,7.126637745484042386e-01,-2.388818397524144999e+01,-8.496048149853379527e+00,5.000000000000004441e-02
1.600000000000000755e+00,1.424269731625432689e+00,1.412755421406820533e+00,5.369744024247039560e-01,-2.381689842389631195e+01,-8.494926333087821746e+00,5.000000000000004441e-02
1.650000000000000799e+00,1.429420846473878237e+00,1.426273154267793553e+00,4.992275298981566634e-01,-2.374540134414609582e+01,-8.494133282130402307e+00,5.000000000000004441e-02
1.700000000000000844e+00,1.461949077241035955e+00,1.455210765782678495e+00,3.951200500866759446e-01,-2.367224174145276905e+01,-8.494818544982731368e+00,5.000000000000004441e-02
1.750000000000000888e+00,1.462365484300619300e+00,1.461014132527410192e+00,3.804265640678525795e-01,-2.359911320113946687e+01,-8.495300772636976916e+00,5.000000000000004441e-02
1.800000000000000933e+00,1.490852027437720162e+00,1.485216377049131564e+00,2.886807337314605260e-01,-2.352450704674344450e+01,-8.495474052962624256e+00,5.000000000000004441e-02
1.850000000000000977e+00,1.497371794303451908e+00,1.495075932541799935e+00,2.510786956150931060e-01,-2.344958012475204612e+01,-8.495392902179464301e+00,5.000000000000004441e-02
1.900000000000001021e+00,1.502078701050443499e+00,1.500756048926841668e+00,2.286754261360919305e-01,-2.337443564483387703e+01,-8.495115768243499232e+00,5.000000000000004441e-02
1.950000000000000844e+00,1.510017266425980997e+00,1.508268048387821247e+00,1.975486402885484605e-01,-2.329888766235417918e+01,-8.494708870344641838e+00,4.999999999999982236e-02
2.000000000000000888e+00,1.514230308473188069e+00,1.513104183005290038e+00,1.759055273763248106e-01,-2.322312787387453881e+01,-8.494198193101144767e+00,5.000000000000004441e-02
2.050000000000000711e+00,1.516488430042964630e+00,1.515849228343572497e+00,1.618867498519093173e-01,-2.314726277485886285e+01,-8.493599815828753563e+00,4.999999999999982236e-02
2.100000000000000533e+00,1.520209859877778014e+00,1.519386242968002509e+00,1.440369207791052375e-01,-2.307120970691963890e+01,-8.492945130639272477e+00,4.999999999999982236e-02
2.150000000000000355e+00,1.521922790763073685e+00,1.521443698769153308e+00,1.315579764395837792e-01,-2.299506979650099225e+01,-8.492259611813237186e+00,4.999999999999982236e-02
2.200000000000000178e+00,1.522101049747882628e+00,1.521976892185499253e+00,1.249392242037413725e-01,-2.291892449765197171e+01,-8.491544880250678773e+00,4.999999999999982236e-02
2.250000000000000000e+00,1.522623750809278587e+00,1.522501574996761642e+00,1.182456458877761962e-01,-2.284275396826855697e+01,-8.490776084892807773e+00,4.999999999999982236e-02
2.299999999999999822e+00,1.522848212201678209e+00,1.522782740890633590e+00,1.124478943161001387e-01,-2.276657216563366504e+01,-8.489929803738341718e+00,4.999999999999982236e-02
2.349999999999999645e+00,1.522665909189094835e+00,1.522687975847153652e+00,1.081420934459630390e-01,-2.269040103342166503e+01,-8.488984603068297830e+00,4.999999999999982236e-02
2.399999999999999467e+00,1.522127347084536453e+00,1.522233236180043914e+00,1.053399531645863307e-01,-2.261425878306319248e+01,-8.487936915945397232e+00,4.999999999999982236e-02
2.449999999999999289e+00,1.521548082833018789e+00,1.521677491584474184e+00,1.030479836183794129e-01,-2.253814658313265795e+01,-8.486798610015160449e+00,4.999999999999982236e-02
2.499999999999999112e+00,1.520858835931290454e+00,1.521013460011301888e+00,1.013170291510473442e-01,-2.246206998649505238e+01,-8.485575969596053980e+00,4.999999999999982236e-02
2.549999999999998934e+00,1.519829786795522608e+00,1.520053353787715444e+00,1.009436348942811534e-01,-2.238604690147858989e+01,-8.484277794219348579e+00,4.999999999999982236e-02
2.599999999999998757e+00,1.519152111585979625e+00,1.519322334250135187e+00,9.982366725129820928e-02,-2.231005869810046960e+01,-8.482907958466984866e+00,4.999999999999982236e-02
2.649999999999998579e+00,1.518113476095309666e+00,1.518341799908047296e+00,9.988310913784170797e-02,-2.223412388166423170e+01,-8.481469349762402743e+00,4.999999999999982236e-02
2.699999999999998401e+00,1.517252508059600880e+00,1.517458248714142144e+00,9.974483331225025839e-02,-2.215823351364398164e+01,-8.479955390775428370e+00,4.999999999999982236e-02
2.749999999999998224e+00,1.516339942280237718e+00,1.516551163082098697e+00,9.988572465975120718e-02,-2.208239059976397556e+01,-8.478366832318391388e+00,4.999999999999982236e-02
2.799999999999998046e+00,1.515435281159120962e+00,1.515646044030019013e+00,1.002054974817455646e-01,-2.200659457657418017e+01,-8.476686890874798763e+00,4.999999999999982236e-02
2.849999999999997868e+00,1.514411764466706556e+00,1.514644889763297142e+00,1.011077941843674388e-01,-2.193085228499129258e+01,-8.474905014494691358e+00,4.999999999999982236e-02
2.899999999999997691e+00,1.513595855643390609e+00,1.513793992595185323e+00,1.015969827225944311e-01,-2.185515326542302361e+01,-8.473019641853797523e+00,4.999999999999982236e-02
