t,phase,target,v_raw,v_filtered,x,y,z,u,torque_L,torque_R,u_motor,dt
0.0,accelerate,1.5,0.0,0.0,-24.0,-8.45,0.14903219044208527,0.0,0.0,0.0,0.0,0.0
0.01,accelerate,1.5,-0.011289776350065095,-0.006773865810039056,-24.000109594454752,-8.449792254038034,0.14713729486335111,0.015275981791629107,0.1605939897384781,0.1605939897384781,0.6372777370574528,0.01
0.02,accelerate,1.5,-0.01513931440626255,-0.011793134967773154,-24.000250077774037,-8.4493221755174,0.14488963303570696,0.035264041164874374,0.16694059835067093,0.16694059835067093,0.6624626918677418,0.01
0.03,accelerate,1.5,-0.016230875755251745,-0.01445577944026031,-24.000392509156278,-8.449277989950522,0.1426718120454371,0.06024742192591555,0.17487332140991674,0.17487332140991674,0.6939417516266537,0.009999999999999998
0.04,accelerate,1.5,-0.010883909994612181,-0.012312657772871431,-24.000476642047154,-8.449398129674709,0.14082189735133324,0.09177950617071973,0.18488538879932695,0.18488538879932695,0.733672177775107,0.010000000000000002
0.05,accelerate,1.5,-0.0015423451518869723,-0.0058504702002807555,-24.00046989435871,-8.449460872392617,0.13955945285809043,0.13087625531348898,0.19729938858713905,0.19729938858713905,0.7829340816949962,0.010000000000000002
0.060000000000000005,accelerate,1.5,0.0099667484367281,0.003639860981924558,-24.00035793844502,-8.44949740467722,0.1389830992207435,0.16704238610819572,0.2087828584370743,0.2087828584370743,0.8285034064963266,0.010000000000000002
0.07,accelerate,1.5,0.022197021163870376,0.01477415709109205,-24.000138162688373,-8.449523786481665,0.13907599449021366,0.20049296329868305,0.21940408570659786,0.21940408570659786,0.8706511337563407,0.010000000000000002
0.08,accelerate,1.5,0.03396677651088594,0.026289728742968387,-23.999815737718215,-8.449542192348721,0.1397266008048685,0.2314891751176814,0.22924600288336622,0.22924600288336622,0.9097063606482786,0.009999999999999995
0.09,accelerate,1.5,0.04454617361429208,0.0372435956657626,-23.9993993405488,-8.449539799983564,0.14075935959148805,0.2607417976679844,0.2385342955955384,0.2385342955955384,0.9465646650616604,0.009999999999999995
0.09999999999999999,accelerate,1.5,0.05375295287092997,0.04714920998886302,-23.998897019759607,-8.449535862251759,0.14196852730247164,0.28908368687570773,0.24753341225677472,0.24753341225677472,0.9822754454633917,0.009999999999999995
0.10999999999999999,accelerate,1.5,0.06190927121924734,0.0560052467270936,-23.998312654205655,-8.449538685471033,0.14314488086759852,0.317189174117011,0.2564574665656334,0.2564574665656334,1.0176883593874342,0.009999999999999995
0.11999999999999998,accelerate,1.5,0.07125514013475198,0.06515518277168864,-23.997626884223823,-8.449543823296436,0.14406583161519787,0.3448863113991056,0.265251861595444,0.265251861595444,1.0525867523628731,0.009999999999999995
0.12999999999999998,accelerate,1.5,0.07606966807539968,0.07170387395391525,-23.996883380011173,-8.449544317702053,0.1446704374694204,0.3735843851628882,0.27436407397692025,0.27436407397692025,1.0887463253052392,0.009999999999999995
