t,phase,target,v_raw,v_filtered,x,y,z,u,torque_L,torque_R,u_motor,dt
0.0,accelerate,2.0,0.0,0.0,-24.0,-8.45,0.14903219044208527,0.0,0.0,0.0,0.0,0.0
0.01,accelerate,2.0,-0.011289776350065095,-0.006773865810039056,-24.000109594454752,-8.449792254038034,0.14713729486335111,0.02157598179162911,0.16259436573847807,0.16259436573847807,0.6452157370574527,0.01
0.02,accelerate,2.0,-0.015193562083544908,-0.011825683574142567,-24.000250582880085,-8.449322168543052,0.1448895672466392,0.050086627660466745,0.17164706601475144,0.17164706601475144,0.6811391508521882,0.01
0.03,accelerate,2.0,-0.016396514540233244,-0.014568182153796974,-24.000394515651486,-8.449277979724814,0.14267152151149987,0.08534512783040274,0.1828423449887095,0.1828423449887095,0.7255648610663075,0.009999999999999998
0.04,accelerate,2.0,-0.011152889050181518,-0.0125190062916277,-24.00048101295924,-8.449398172881988,0.14082112014400314,0.12854625977753553,0.1965595684045631,0.1965595684045631,0.7799982873196948,0.010000000000000002
0.05,accelerate,2.0,-0.0018205024960726381,-0.006099904014294663,-24.000476607125613,-8.449461067490242,0.13955782740451034,0.18045375200957353,0.2130412353380798,0.2130412353380798,0.8454017275320628,0.010000000000000002
0.060000000000000005,accelerate,2.0,0.009828586564469341,0.003457190332963739,-24.00036567874669,-8.449498000973016,0.13898018378002433,0.23049728407625997,0.22893105763989408,0.22893105763989408,0.9084565779360876,0.010000000000000002
0.07,accelerate,2.0,0.02239151363526644,0.014817784314345358,-24.000143986972184,-8.449525083935628,0.13907129485791442,0.2784299916172392,0.24415065093830582,0.24415065093830582,0.9688517894377215,0.010000000000000002
0.08,accelerate,2.0,0.03469607785690152,0.026744760439879056,-23.999814970468584,-8.449544205798777,0.13971966093037005,0.3242915009326616,0.2587125973761387,0.2587125973761387,1.0266372911751536,0.009999999999999995
0.09,accelerate,2.0,0.046021940755930024,0.038311068629509636,-23.999385347740436,-8.44954050224424,0.14074990766397116,0.36860552018046805,0.2727831847677022,0.2727831847677022,1.0824729554273897,0.009999999999999995
0.09999999999999999,accelerate,2.0,0.0561710983176574,0.049027086442398296,-23.99886113405103,-8.449537489425742,0.14195641035700057,0.4120554885684112,0.28657941873024195,0.28657941873024195,1.1372199155961982,0.009999999999999995
0.10999999999999999,accelerate,2.0,0.06741543716059616,0.060060096873317016,-23.99822279623329,-8.449543939129802,0.1430908745298641,0.4545696130931274,0.30007850354932986,0.30007850354932986,1.1907877124973407,0.009999999999999995
0.11999999999999998,accelerate,2.0,0.07723380170790492,0.07036431977406976,-23.99747818115504,-8.44954957343654,0.14397645673425905,0.4966477327828844,0.3134391481132215,0.3134391481132215,1.2438061433064345,0.009999999999999995
0.12999999999999998,accelerate,2.0,0.08286755045215724,0.07786625818092224,-23.996667306706193,-8.449547956929065,0.1445535571546061,0.5398041412486054,0.3271421709292572,0.3271421709292572,1.2981832179732429,0.009999999999999995
0.13999999999999999,accelerate,2.0,0.08627928194015955,0.08291407243646462,-23.995812075516476,-8.449547613061007,0.14480540538729725,0.5850836235872007,0.34151931216140796,0.34151931216140796,1.3552353657198728,0.010000000000000009
0.15,accelerate,2.0,0.08909749707566042,0.08662412721998211,-23.994918980636402,-8.449542939320448,0.14475470422961767,0.6327419316418398,0.356651778134917,0.356651778134917,1.4152848338687183,0.010000000000000009
0.16,accelerate,2.0,0.09254203033526011,0.0901748690891489,-23.993982866265085,-8.449544431148025,0.14445461915949398,0.682362562295007,0.3724073207799106,0.3724073207799106,1.4778068284917087,0.010000000000000009
0.17,accelerate,2.0,0.09723237548673189,0.09440937292769869,-23.992993164700472,-8.449538498770462,0.14398499038625773,0.7331623831802926,0.3885372799074065,0.3885372799074065,1.5418146028071686,0.010000000000000009
0.18000000000000002,accelerate,2.0,0.10340332423392676,0.09980574371143552,-23.991937687970662,-8.449540470240738,0.1434376817672797,0.784254315908728,0.40475999038733934,0.40475999038733934,1.6061904380449974,0.010000000000000009
0.19000000000000003,accelerate,2.0,0.11111887218897518,0.10659362079795931,-23.990804160491585,-8.449539967029413,0.14290324917279926,0.834797707644206,0.42080852813118835,0.42080852813118835,1.6698751116316999,0.010000000000000009
0.20000000000000004,accelerate,2.0,0.12037516138587766,0.11486254515071032,-23.989580386473943,-8.449535616677554,0.14245667559066813,0.884062391158281,0.4364510504405774,0.4364510504405774,1.7319486128594341,0.010000000000000009
0.21000000000000005,accelerate,2.0,0.1308782510548242,0.12447196869317864,-23.98825661805504,-8.449540574511694,0.14214936218089722,0.9315290585582654,0.4515226666734204,0.4515226666734204,1.7917566137834142,0.010000000000000009
0.22000000000000006,accelerate,2.0,0.14241019863712748,0.13523490665954796,-23.98682429031013,-8.449538557868376,0.14200511658399423,0.9768729168853931,0.46592024856945,0.46592024856945,1.8488898752755953,0.010000000000000009
0.23000000000000007,accelerate,2.0,0.15472145207360874,0.14692683390798444,-23.985275944244908,-8.44953617583999,0.1420185370314234,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.24000000000000007,accelerate,2.0,0.1681910725953438,0.15968537712040007,-23.983598454463273,-8.44954800501649,0.14215006257941945,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.25000000000000006,accelerate,2.0,0.1819164400779703,0.17302401489494224,-23.981787383729053,-8.449537186819732,0.14235917474201978,1.0,0.47326356,0.47326356,1.87803,0.009999999999999981
0.26000000000000006,accelerate,2.0,0.21295038064543315,0.19697983434523678,-23.97964978542662,-8.449621625376663,0.14223263303829198,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.2700000000000001,accelerate,2.0,0.2327020077897003,0.2184131384119149,-23.97730682863599,-8.449595922994199,0.1418903954254826,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.2800000000000001,accelerate,2.0,0.22874513336929983,0.22461233538634587,-23.97501261353467,-8.44952875510858,0.14175302572886206,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.2900000000000001,accelerate,2.0,0.22563934032777636,0.22522853835120415,-23.97275669263924,-8.449526060458371,0.14180718562765599,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.3000000000000001,accelerate,2.0,0.22245476702098493,0.22356427555307262,-23.97053841805883,-8.449513061679964,0.14201572887101718,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.3100000000000001,accelerate,2.0,0.22352394847819096,0.22354007930814362,-23.96831339264634,-8.449522030413378,0.14231522783509168,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.3200000000000001,accelerate,2.0,0.23175068661531137,0.2284664436924443,-23.96600491732183,-8.449562063896424,0.1425758839195729,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.3300000000000001,accelerate,2.0,0.24245568314972185,0.2368599873668108,-23.963588231676674,-8.449503928141452,0.1428030432305568,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.34000000000000014,accelerate,2.0,0.27110507103532405,0.2574070375679188,-23.96086409079502,-8.44960837920378,0.14257272374532962,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.35000000000000014,accelerate,2.0,0.2974343175053149,0.28142340553035644,-23.957864775365454,-8.449580185843791,0.1420339095308773,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.36000000000000015,accelerate,2.0,0.2964660613636912,0.29044899903035726,-23.954884766417642,-8.449413016963636,0.14170532409756312,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.37000000000000016,accelerate,2.0,0.2950998587730894,0.29323951487599653,-23.951927198376215,-8.449447685276557,0.14159937059893463,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.38000000000000017,accelerate,2.0,0.294266732028774,0.29385584516766305,-23.948986390249015,-8.44948644283443,0.14170570624207304,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.3900000000000002,accelerate,2.0,0.29816749559928024,0.29644283542663336,-23.94601353296959,-8.449457488613762,0.14197369593467896,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.4000000000000002,accelerate,2.0,0.3082874544265397,0.30354960682657717,-23.942941974674735,-8.449440178174012,0.14229210767990183,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.4100000000000002,accelerate,2.0,0.3197660837146057,0.3132794929593943,-23.93975661960979,-8.449419148747205,0.14262639692272575,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.4200000000000002,accelerate,2.0,0.3518797151527922,0.336439626275433,-23.93622988523546,-8.449600211381593,0.14253648671828936,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.4300000000000002,accelerate,2.0,0.377058406502612,0.3608108944117404,-23.932439687147944,-8.449679526853494,0.1421495895493438,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.4400000000000002,accelerate,2.0,0.3739477336620061,0.36869299796189986,-23.928689521531496,-8.449621672733164,0.14195446930710776,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.45000000000000023,accelerate,2.0,0.3699152831370621,0.3694263690669972,-23.92498722667613,-8.449511806865292,0.14194663733132162,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.46000000000000024,accelerate,2.0,0.36834711742671655,0.3687788180828288,-23.921307097833797,-8.449414967929375,0.14210335757564557,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.47000000000000025,accelerate,2.0,0.3708350651618453,0.3700125663302387,-23.9176064771171,-8.449433068539106,0.1423635454332034,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.48000000000000026,accelerate,2.0,0.3795490320449238,0.3757344457590498,-23.913819080044682,-8.449454834963927,0.14262835416612998,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.49000000000000027,accelerate,2.0,0.3895286967751362,0.3840109963687016,-23.909931833378064,-8.449466898253728,0.14288973177210795,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.5000000000000002,accelerate,2.0,0.4211284576208445,0.40628147311998736,-23.905707713166002,-8.449608152754816,0.14271498368305788,1.0,0.47326356,0.47326356,1.87803,0.009999999999999953
0.5100000000000002,accelerate,2.0,0.44590723932723975,0.43005693284433877,-23.901224212471774,-8.449700293115992,0.14224334023116825,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
0.5200000000000002,accelerate,2.0,0.4431797800098133,0.43793064114362346,-23.896777934906744,-8.449731254001744,0.14198054317277817,1.0,0.47326356,0.47326356,1.87803,0.010000000000000009
