t,phase,target,v_raw,v_filtered,x,y,z,u,torque_L,torque_R,u_motor,dt
0.0,accelerate,2.0,0.0,0.0,-24.0,-8.45,0.14903219044208527,0.0,0.0,0.0,0.0,0.0
0.05,accelerate,2.0,-0.011709535373267726,-0.007025721223960635,-24.000503967818396,-8.449447581626263,0.13960906646631074,0.12125763817382658,0.19424528527295343,0.19424528527295343,0.7708146240990216,0.05
0.1,accelerate,2.0,0.003172413627029474,-0.00090684031336657,-24.00039874236719,-8.449526413340228,0.14202438795321637,0.29214809308470024,0.24850642251625404,0.24850642251625404,0.9861365972867224,0.05
0.15000000000000002,accelerate,2.0,0.050424834759691235,0.029892164730468112,-23.997953539564996,-8.449539129674699,0.1449599161815336,0.4779581401623808,0.30750482866435913,0.30750482866435913,1.2202572566045997,0.05000000000000002
0.2,accelerate,2.0,0.0756481260523291,0.0573457415235847,-23.99408111188961,-8.44953693002291,0.14242782921692979,0.6770287877236051,0.3707137406779991,0.3707137406779991,1.4710862725317424,0.04999999999999999
0.25,accelerate,2.0,0.11441880328482838,0.0915895785803309,-23.988353302428617,-8.449532638282726,0.14238442387429764,0.8811636148059554,0.4355306309731869,0.4355306309731869,1.7282961546555036,0.04999999999999999
0.3,accelerate,2.0,0.1696971411741293,0.13845411613660993,-23.9798741197192,-8.449615950273207,0.14269535858020052,1.0,0.47326356,0.47326356,1.87803,0.04999999999999999
0.35,accelerate,2.0,0.20252925557669205,0.17689919980065918,-23.969707237467784,-8.449518771160957,0.1419986426894436,1.0,0.47326356,0.47326356,1.87803,0.04999999999999999
0.39999999999999997,accelerate,2.0,0.2640823381335499,0.22920908280039365,-23.95647645264569,-8.449447153343877,0.14159532855063256,1.0,0.47326356,0.47326356,1.87803,0.04999999999999999
0.44999999999999996,accelerate,2.0,0.29530780510473753,0.268868316183,-23.941761716265525,-8.44946277894818,0.14302454528324834,1.0,0.47326356,0.47326356,1.87803,0.04999999999999999
0.49999999999999994,accelerate,2.0,0.35533453283086086,0.3207480461717165,-23.92393869011784,-8.449372379614516,0.14206918632254756,1.0,0.47326356,0.47326356,1.87803,0.04999999999999999
0.5499999999999999,accelerate,2.0,0.3982049477832495,0.3672221871386363,-23.904002993506527,-8.449639666583172,0.1418468526394511,1.0,0.47326356,0.47326356,1.87803,0.04999999999999999
0.6,accelerate,2.0,0.4303304580815346,0.4050871497043752,-23.882512416611284,-8.449679020199879,0.14290312357878823,1.0,0.47326356,0.47326356,1.87803,0.050000000000000044
0.65,accelerate,2.0,0.4952646306838526,0.45919363829206167,-23.857684616609244,-8.449574657809086,0.1417282883468411,1.0,0.47326356,0.47326356,1.87803,0.050000000000000044
0.7000000000000001,accelerate,2.0,0.525462761247489,0.49895511206531806,-23.831402802134352,-8.450081066567758,0.14205878317122606,1.0,0.47326356,0.47326356,1.87803,0.050000000000000044
